LifeExp,Developed,Mortality,BMI,Alcohol,Polio,HIV,GDP,IDHComp,School,InfDeaths,Population
73.6,No,14,46,4.25,97,0.1,1326.97339,0.662,10.6,1,0.036173
72.6,No,11,45,3.66,97,0.1,1175.788981,0.656,10.7,1,0.038927
75.4,No,11,58.4,0.01,95,0.1,547.8517,0.741,14.4,21,39.113313
75.3,No,112,57.2,0.53,95,0.1,5471.866766,0.737,14.4,21,38.338562
75.1,No,113,56.1,0.66,95,0.1,5564.82566,0.732,14.4,21,37.565847
74.9,No,116,55,0.56,95,0.1,5432.2523,0.724,14,21,36.819558
74.7,No,119,53.9,0.45,95,0.1,4463.394675,0.714,13.6,21,36.117637
74.4,No,123,52.8,0.5,94,0.1,3868.83123,0.705,13.1,20,3.546576
74.1,No,126,51.8,0.46,92,0.1,495.254866,0.697,12.6,20,3.486715
73.8,No,129,5.8,0.44,95,0.1,3935.183343,0.69,12.3,20,0.034376
73.4,No,132,49.8,0.36,95,0.1,3464.6179,0.686,12.3,20,33.777915
72.9,No,136,48.9,0.5,88,0.1,31.122378,0.68,12,19,33.288437
72.3,No,14,47.9,0.45,86,0.1,2598.9823,0.673,11.7,19,3.283196
71.7,No,146,47,0.34,87,0.1,294.33556,0.663,11.5,20,3.243514
71.6,No,145,46.1,0.36,86,0.1,1774.33673,0.653,11.1,20,3.199546
71.4,No,145,45.3,0.23,89,0.1,1732.857979,0.644,10.9,20,31.592153
71.3,No,145,44.4,0.25,86,0.1,1757.17797,0.636,10.7,21,3.118366
51.7,No,348,22.7,8.33,68,2,479.31224,0.527,11.4,67,2.692466
51.1,No,355,22.1,8.1,67,2.3,484.616884,0.523,11.4,69,2.599834
56,No,358,21.5,8.24,75,2.6,4598.249988,0.508,10.3,72,0.259615
51,No,361,21,8.06,73,2.5,4299.12889,0.495,9.4,75,24.218565
49.6,No,365,2.4,7.8,81,2.5,3529.53482,0.488,9,78,23.369131
49.1,No,369,19.8,7.01,63,2.5,3347.84485,0.48,8.5,81,22.549547
48.7,No,371,19.3,7.07,65,2.6,3868.578883,0.468,8.1,84,2.175942
48.2,No,375,18.8,6.35,75,2.6,2878.837144,0.454,7.7,87,2.997687
47.7,No,381,18.2,5.84,36,2.5,262.415149,0.439,7.2,90,2.262399
47.4,No,382,17.7,5.04,39,2.6,1443.991929,0.426,6.8,92,19.552542
47.1,No,386,17.2,3.53,4,2.5,141.86844,0.415,6.4,94,18.865716
46.8,No,388,16.8,3.49,4,2.4,779.468356,0.406,5.9,95,1.823369
46.5,No,391,16.3,2.82,37,2.3,711.181716,0.401,5.5,96,17.572649
45.7,No,44,15.8,2.58,41,2.1,526.168743,0.391,5.1,97,16.983266
45.3,No,48,15.4,1.85,3,2,555.2969419,0.382,4.6,97,1.644924
76.2,No,118,62.2,7.93,92,0.1,12245.25645,0.825,17.3,8,42.981515
76,No,119,61.6,8.28,99,0.1,12976.63642,0.823,17.3,8,42.539925
75.9,No,12,61,8.35,99,0.1,12969.7712,0.822,17.2,9,4.296739
75.7,No,12,6.4,8.11,93,0.1,12726.9836,0.816,17.1,9,41.656879000000004
75.5,No,121,59.8,8.15,95,0.1,1276.265,0.802,16.8,10,41.223889
75.6,No,126,59.2,8.33,97,0.1,8161.36966,0.794,16.5,10,0.479947
75.4,No,126,58.6,8.41,94,0.1,8953.359275,0.792,16.3,10,4.382389
74.8,No,129,58,8.16,92,0.1,7193.61764,0.788,16.3,10,3.997224
75.2,No,127,57.5,7.75,92,0.1,5878.76127,0.782,16.1,11,3.955889
74.9,No,127,56.9,7.53,95,0.1,576.883829,0.78,16.3,11,39.145488
74.7,No,13,56.3,7.63,91,0.1,4251.574348,0.775,16.3,11,38.728696
74.1,No,137,55.7,7.62,95,0.1,333.4376,0.77,16.4,11,3.839379
74.1,No,138,55.1,7.81,94,0.1,2579.193168,0.776,16.3,12,3.7889370000000002
74,No,138,54.6,7.76,85,0.1,717.694674,0.771,15.6,12,3.747159
74.1,No,137,54,7.68,88,0.1,7669.273916,0.764,15,12,3.757452
74.6,No,12,54.1,3.91,95,0.1,3994.712355,0.739,12.7,1,0.029622
74.4,No,123,53.3,3.79,96,0.1,3843.591213,0.736,12.7,1,0.289359
74.4,No,121,52.6,3.89,96,0.1,3684.8481,0.732,12.7,1,2.881922
73.9,No,128,51.9,4.09,96,0.1,3526.978143,0.729,12.7,1,2.875581
73.5,No,132,51.2,4.23,96,0.1,3218.381655,0.72,12.3,1,2.877311
73.3,No,137,5.7,3.96,94,0.1,2993.832531,0.725,11.9,1,2.888584
73.2,No,14,5.1,3.96,91,0.1,41.26997,0.721,12.3,1,0.029822
73.5,No,132,49.7,3.99,9,0.1,3138.8873,0.707,11.7,1,0.293356
72.9,No,141,49.2,4.01,87,0.1,2158.299,0.692,11.2,1,0.029585
73,No,137,48.8,4.25,92,0.1,1643.758397,0.679,10.9,1,2.981259
73,No,132,48.4,3.81,93,0.1,1191.96192,0.668,10.9,1,0.003612
72.7,No,134,48.1,3.03,96,0.1,93.1661567,0.657,10.8,1,0.031786
72.6,No,134,47.8,2.86,96,0.1,783.261699,0.645,10.8,1,0.333897
72.6,No,141,47.4,2.86,97,0.1,694.435119,0.644,11.1,1,0.035655
72,No,142,47.1,2.9,96,0.1,622.7427477,0.639,11.2,1,0.369588
82.7,Yes,6,66.1,9.71,92,0.1,62214.6912,0.936,20.4,1,2.346694
82.5,Yes,61,65.5,9.87,91,0.1,67792.3386,0.933,20.3,1,23.117353
82.3,Yes,61,65,10.03,92,0.1,67677.63477,0.93,20.1,1,22.728254
82,Yes,63,64.4,10.3,92,0.1,62245.129,0.927,19.8,1,0.223424
81.9,Yes,64,63.9,10.52,92,0.1,51874.848,0.927,19.5,1,0.223175
81.7,Yes,66,63.4,10.62,92,0.1,42742.99898,0.925,19.1,1,0.216917
81.3,Yes,66,62.9,10.76,92,0.1,49664.6854,0.921,19.1,1,0.212492
81.3,Yes,66,62.5,10.56,92,0.1,4991.98289,0.918,19,1,0.028276
81.2,Yes,66,62,10.31,92,0.1,36118.28381,0.915,20.3,1,0.026979
81,Yes,67,61.5,10.3,92,0.1,3416.71483,0.91,20.3,1,0.023948
86,Yes,69,6.9,9.84,92,0.1,3472.37977,0.908,20.7,1,0.021274
83,Yes,71,6.3,9.97,92,0.1,23465.38559,0.905,20.6,1,0.198954
79.9,Yes,73,59.6,9.84,92,0.1,281.81763,0.902,20.1,1,0.196514
79.9,Yes,75,59,9.53,91,0.1,19517.84168,0.899,20.5,1,0.019413
79.5,Yes,78,58.2,10.17,9,0.1,2169.921,0.897,20.4,1,0.019153
81.4,Yes,66,57.1,12.32,98,0.1,51322.63997,0.892,15.9,0,8.541575
81.1,Yes,68,56.6,11.82,95,0.1,554.71532,0.887,15.7,0,8.479375
88,Yes,7,56.1,12.26,92,0.1,48333.57273,0.884,15.7,0,8.429991
88,Yes,73,55.7,12.04,89,0.1,51126.74139,0.88,15.7,0,8.391643
84,Yes,75,55.2,12.1,86,0.1,46657.629,0.872,15.4,0,0.836344
82,Yes,77,54.7,11.3,83,0.1,47654.18721,0.87,15.3,0,8.343323
84,Yes,76,54.2,12,83,0.1,51386.37665,0.864,15.1,0,8.321496
81,Yes,8,53.7,12.5,85,0.1,46586.6525,0.86,15.2,0,8.295487
79.8,Yes,81,53.2,12.4,83,0.1,443.99361,0.854,15,0,8.268641
79.4,Yes,85,52.7,12.4,86,0.1,38242.4252,0.848,14.9,0,8.227829
79.3,Yes,86,52.2,12.1,83,0.1,36693.4262,0.841,14.7,0,8.171966
78.8,Yes,88,51.7,12.2,84,0.1,3212.9355,0.837,14.7,0,8.121423
78.7,Yes,9,51.2,12.5,82,0.1,26351.37568,0.847,16.1,0,0.881957
78.6,Yes,92,5.6,12.4,83,0.1,24489.73553,0.837,15.5,0,0.842293
78.1,Yes,96,5.1,13.2,71,0.1,24517.26745,0.833,15.4,0,0.811566
72.5,No,119,51.5,0.01,97,0.1,7891.299776,0.752,12.2,5,0.953579
72.2,No,121,5.6,2.14,96,0.1,7875.756953,0.745,11.9,5,0.941681
71.9,No,123,49.7,0.01,92,0.1,7496.335728,0.742,11.8,5,9.295784
71.6,No,125,48.8,1.98,91,0.1,7189.691229,0.741,11.7,5,0.917382
71.1,No,13,48,1.98,85,0.1,5842.85784,0.737,11.7,5,0.954332
78,No,132,47.3,2.1,84,0.1,495.294791,0.728,11.6,6,8.947243
73,No,141,46.6,1.18,85,0.1,5574.6382,0.719,11.6,6,0.087634
73,No,14,45.9,1.02,81,0.1,3851.437869,0.708,11.6,6,0.085813
69.2,No,154,45.3,0.85,8,0.1,2473.85776,0.682,10.7,6,0.848455
68.4,No,162,44.7,0.73,79,0.1,1578.4239,0.675,11.2,6,0.839185
68.4,No,154,44.2,0.62,78,0.1,145.2163,0.668,11,6,0.008365
67.8,No,154,43.6,0.55,79,0.1,883.6439965,0.659,10.8,7,0.082341
67.8,No,146,43.1,0.55,8,0.1,763.73858,0.651,10.6,7,0.817195
67.5,No,151,42.6,0.51,77,0.1,73.6838434,0.642,10.4,8,0.081112
66.6,No,16,42.1,0.65,75,0.1,655.974326,0.636,10.1,9,0.008486
71.4,No,132,17.7,0.01,97,0.1,184.56543,0.57,10,98,15.945279
71,No,135,17,0.01,96,0.1,951.8894535,0.565,10,104,157.571292
77,No,137,16.4,0.01,94,0.1,856.342857,0.557,9.9,111,15.572753
73,No,14,15.8,0.01,96,0.1,835.789341,0.545,9.4,118,153.911916
69.9,No,142,15.2,0.01,94,0.1,757.6717572,0.535,8.9,126,15.214912
69.5,No,144,14.6,0.01,97,0.1,681.125368,0.523,8.4,135,1.545478
69.1,No,147,14,0.01,96,0.1,615.7775411,0.52,8.6,144,14.885814
68.6,No,151,13.5,0.01,96,0.1,541.651484,0.513,8.6,154,147.139191
68.2,No,152,13,0.01,95,0.1,494.51466,0.506,8.4,164,1.453684
67.8,No,155,12.5,0.01,94,0.1,484.155471,0.499,8.2,174,14.343111
67.3,No,158,12,0.01,88,0.1,46.7579167,0.491,8.1,185,14.137489
66.8,No,161,11.6,0.01,9,0.1,432.7388972,0.484,7.9,196,0.139191
66.3,No,164,11.2,0.01,83,0.1,4.6135745,0.476,7.7,207,1.366667
65.8,No,168,1.8,0.01,85,0.1,42.5981152,0.468,7.5,219,1.341716
65.3,No,173,1.4,0.01,83,0.1,45.63371,0.459,7.3,231,131.581243
72,No,199,61.7,13.94,97,0.1,8318.429294,0.796,15.7,0,9.474511
71.7,No,23,61.1,14.66,98,0.1,7978.825443,0.796,15.7,0,9.465997
71.9,No,194,6.5,16.35,98,0.1,694.243915,0.793,15.6,0,9.464495
72,No,232,59.9,17.31,98,0.1,6519.71753,0.787,15.5,0,9.473172
73,No,222,59.3,14.44,99,0.1,63.38877,0.78,15.5,0,0.949583
70,No,226,58.7,14.09,98,0.1,5176.172649,0.771,15.4,0,0.956765
70,No,224,58.2,14.67,98,0.1,6376.183153,0.755,15.1,1,9.527985
69.8,No,226,57.7,14.22,9,0.1,4735.484827,0.739,14.9,1,0.956953
68.9,No,243,57.2,12.6,97,0.1,3848.215966,0.723,14.6,1,0.964924
68.1,No,252,56.7,11.01,98,0.1,3126.71767,0.713,14.4,1,9.663915
68.2,No,247,56.2,12.05,99,0.1,2378.33927,0.703,14.1,1,0.973146
67.7,No,253,55.8,11.17,53,0.1,1819.525644,0.695,13.9,1,9.796749
67.2,No,262,55.3,12.23,99,0.1,1479.383142,0.687,13.6,1,9.865548
67.7,No,254,54.9,10.74,99,0.1,1244.373185,0.681,13.3,1,9.928549
68,No,247,54.4,12.98,99,0.1,1276.28834,0.675,13.1,1,0.997961
89,Yes,76,63.4,12.6,99,0.1,47439.39684,0.89,16.3,0,0.112957
87,Yes,77,63,11.77,99,0.1,4651.38647,0.889,16.3,0,11.182817
83,Yes,78,62.6,10.08,99,0.1,4474.5717,0.886,16.2,0,11.128246
83,Yes,8,62.3,10.11,98,0.1,4772.77415,0.884,16.1,0,1.147744
80,Yes,81,61.9,10.22,98,0.1,4438.23741,0.878,15.9,0,1.895586
79.8,Yes,85,61.6,10.05,98,0.1,4488.5615,0.876,15.8,0,1.796493
79.5,Yes,87,61.3,10.47,99,0.1,48424.58927,0.874,15.8,0,0.179973
79.5,Yes,86,6.9,10.25,99,0.1,4443.83131,0.871,15.8,0,0.016257
79.4,Yes,85,6.6,10.98,99,0.1,38852.3613,0.865,15.7,0,1.547958
78.9,Yes,89,6.2,12.27,97,0.1,36967.28292,0.861,15.7,0,1.478617
78.8,Yes,91,59.8,12.05,96,0.1,35589.71295,0.88,18.8,1,1.421137
78.3,Yes,95,59.4,11.28,96,0.1,3743.95693,0.878,18.6,0,1.376133
78,Yes,99,59,11.29,96,0.1,2552.3328,0.875,18.8,1,1.332785
78,Yes,1,58.5,11.01,96,0.1,23121.56635,0.873,18.2,1,0.128657
77.6,Yes,11,58.1,11.21,96,0.1,2327.4591,0.869,18,1,0.125125
70,No,177,5.1,6.58,95,0.2,4852.223666,0.705,12.8,0,0.351694
69.8,No,18,49.3,6.56,95,0.2,4688.538443,0.706,12.9,0,0.344181
69.4,No,189,48.5,6.66,98,0.1,4673.63848,0.702,12.5,0,0.033671
69.4,No,188,47.8,6.64,95,0.5,4516.24675,0.7,12.4,0,0.329192
69.5,No,186,47,6.76,96,0.2,4344.15177,0.7,12.4,0,0.032168
69.5,No,184,46.3,6.85,98,0.3,4258.788611,0.7,12.7,0,0.313929
69.6,No,181,45.7,7.22,94,0.1,447.22796,0.699,12.8,0,0.036165
69.6,No,181,45,7.24,97,0.6,4324.876427,0.7,12.8,0,0.029847
69.4,No,184,44.4,6.48,98,0.6,4187.3783,0.692,12.3,0,0.029747
69,No,191,43.8,6.25,96,0.8,3933.332215,0.695,12.8,0,0.283277
68.7,No,197,43.2,6.2,97,0.8,3831.53819,0.691,12.5,0,0.027689
68.4,No,21,42.6,5.67,95,1.5,3679.99523,0.684,12.2,0,0.026913
68.5,No,199,42,4.99,93,0.1,3556.561825,0.678,11.9,0,0.026226
68.2,No,21,41.4,4.9,96,0.4,3419.275719,0.677,11.8,0,0.254984
68.3,No,196,4.8,4.79,91,0.3,3364.423711,0.668,11.7,0,0.247315
59.7,No,252,25.2,0.01,74,1.1,943.686575,0.475,10.7,25,1.286712
59.5,No,251,24.6,0.01,73,1.2,915.2674586,0.466,10.3,25,0.014451
59.3,No,251,24.1,0.01,8,1.3,837.9551,0.458,10,25,0.972916
59.1,No,251,23.5,1.4,77,1.4,825.9427854,0.454,9.8,25,0.094682
58.7,No,254,23,1.33,77,1.4,757.695974,0.451,9.5,25,9.199259
58.4,No,259,22.5,1.16,8,1.6,793.45243,0.448,9.3,25,0.894476
57.6,No,278,22,1.28,77,1.8,82.1513498,0.444,9.1,25,8.696916
57.1,No,283,21.5,1.12,82,2,76.535419,0.438,8.9,25,8.454791
56.8,No,284,21,1.19,76,2,625.8392,0.434,8.7,25,8.216896
56.5,No,285,2.5,1.13,73,2.1,61.799977,0.43,8.5,25,7.982225
56.1,No,285,2.1,1.15,74,2.1,583.493514,0.423,8.1,25,0.007754
55.8,No,285,19.7,1.35,75,2.1,519.2922847,0.416,7.7,25,0.752555
55.6,No,283,19.2,1.23,76,2.1,418.6985763,0.407,7.3,25,7.295394
55.5,No,281,18.8,1.29,77,2.1,378.73654,0.395,6.6,25,0.776733
55.4,No,279,18.4,1.34,78,2,374.1923942,0.389,6.4,25,6.865951
69.4,No,216,23.6,0.01,98,0.5,2522.7968,0.596,12.5,0,0.776448
69.1,No,219,22.7,0.01,97,0.6,235.882889,0.589,12.6,0,0.764961
68.7,No,223,21.9,0.01,97,0.6,2422.816,0.581,12.3,0,0.752967
68.3,No,225,21.1,0.23,95,0.5,2458.45976,0.572,11.9,0,0.007451
67.9,No,228,2.3,0.28,92,0.5,2178.921383,0,11.4,1,0.727641
67.4,No,232,19.5,0.17,93,0.4,177.234497,0,10.9,1,0.714458
67,No,234,18.8,0.21,96,0.4,1795.18137,0,10.5,1,7.95e-4
66.5,No,238,18,0.16,93,0.3,1741.142552,0,10.1,1,0.686958
65.8,No,245,17.4,0.29,96,0.3,1335.45696,0,9.6,1,0.672228
65,No,254,16.7,0.73,95,0.3,1247.61392,0,9.2,1,0.656639
64.2,No,263,16.1,0.96,9,0.3,197.45788,0,8.8,1,0.064282
63.3,No,273,15.5,0.52,96,0.2,997.7417141,0,8.4,1,0.623434
62.5,No,282,14.9,0.29,89,0.1,885.6382245,0,8,1,0.066399
61.7,No,29,14.4,0.14,88,0.1,87.9387673,0,7.6,1,0.005896
62,No,312,13.9,0.17,98,0.1,765.8632358,0,7.3,1,0.573416
77.2,No,89,55.3,4.03,86,0.1,5193.94932,0.742,14.2,0,0.035662
77,No,9,54.7,4.12,87,0.1,535.86555,0.735,14.2,0,0.364999
76.8,No,92,54.2,4.61,87,0.1,4716.673325,0.728,13.9,0,0.036482
76.9,No,92,53.7,4.64,89,0.1,55.156834,0.711,13.4,0,3.688865
76.4,No,94,53.1,4.54,9,0.1,4611.47298,0.717,13.3,0,0.372284
76.1,No,97,52.6,4.75,9,0.1,4697.89732,0.716,13.3,0,3.746561
76,No,98,52.1,5.13,92,0.1,575.31664,0.71,13.1,0,3.763599
75.4,No,16,51.5,5.16,95,0.1,418.292176,0.703,12.9,0,0.003774
75.7,No,1,51,4.82,91,0.1,344.321698,0.697,12.7,0,3.779468
75,No,12,5.5,4.56,95,0.1,2968.41186,0,12.5,0,0.378153
75.5,No,99,49.9,4.25,87,0.1,265.642661,0,12.3,0,3.781287
75.2,No,12,49.4,4.14,87,0.1,2214.732246,0,12.1,0,3.779247
75.4,No,11,48.8,3.84,86,0.1,1761.537647,0,11.9,0,0.377587
74.9,No,113,48.2,3.85,92,0.1,1524.41222,0,11.6,0,3.771284
74.6,No,116,47.6,3.64,87,0.1,1461.7552,0,0,0,0.376676
65.1,No,268,37.3,0.01,96,2.3,7497.762376,0.697,12.6,2,2.168573
64.2,No,286,36.8,0.01,96,2.8,77.625783,0.693,12.6,2,0.212857
63.4,No,3,36.2,0.01,96,4.4,729.231453,0.687,12.5,2,0.289315
62.2,No,325,35.7,5.76,96,5.5,7645.21469,0.678,12.4,2,0.251339
61.1,No,349,35.2,5.99,96,6.2,6346.15624,0.669,12.3,2,0.214866
59.2,No,393,34.7,5.01,96,9,5185.729845,0.661,12.2,2,1.979882
57.5,No,427,34.2,6.56,96,12.7,5623.379566,0.646,12.1,2,1.946351
56.9,No,436,33.7,6.21,96,13.4,5714.47937,0.63,12.1,2,1.914414
54.8,No,491,33.2,6.45,96,14.4,5374.554867,0.61,11.9,2,1.884238
51.7,No,566,32.7,6.37,96,20.6,5351.253732,0.593,11.9,2,1.855852
48.1,No,652,32.2,4.9,96,28.4,4896.583835,0.58,11.8,2,0.182933
46.4,No,693,31.6,5.51,96,31.9,4163.6596,0.567,11.8,2,0.184339
46,No,699,31.1,6.41,97,34.6,355.618382,0.558,11.9,2,1.779953
46.7,No,679,3.5,5.48,97,37.2,3128.97793,0.56,11.8,2,1.754935
47.8,No,647,29.9,5.37,97,38.8,3349.68823,0.559,11.7,2,0.172834
74.8,No,144,55.3,7.32,96,0.1,1226.61731,0.747,15.2,44,24.213133
74.7,No,146,54.5,7.24,96,0.1,12216.9446,0.734,14.2,46,2.248632
74.5,No,148,53.6,7.55,96,0.1,12291.46685,0.73,14.2,49,0.256983
74.1,No,152,52.8,7.58,98,0.1,13167.47289,0.724,14,51,198.686688
73.8,No,154,52,7.52,99,0.1,11224.1548,0.716,13.8,54,196.796269
73.6,No,157,51.1,7.33,99,0.1,8553.3847,0.714,13.8,57,194.895996
73.4,No,158,5.3,7.21,99,0.1,8787.61375,0.704,13.3,61,19.297929
73.3,No,159,49.4,7.19,99,0.1,7313.557962,0.7,13.5,65,19.126637
73,No,161,48.6,7.1,99,0.1,586.145975,0.698,13.8,70,18.912412
72.7,No,163,47.8,6.97,99,0.1,477.182746,0.694,13.8,75,186.917361
72,No,17,46.9,6.85,99,0.1,3623.47667,0.695,14,81,184.738458
71.8,No,172,46.1,6.95,99,0.1,359.587582,0.699,14.8,88,182.482149
71.4,No,176,45.3,7,99,0.1,2819.649531,0.692,14.6,95,1.815121
71,No,179,44.5,7.13,99,0.1,3146.95177,0.685,14.3,103,1.777567
75,No,183,43.7,7.26,99,0.1,3739.11936,0.677,14.1,111,175.287587
74.3,Yes,138,65.1,12.03,88,0.1,7853.335191,0.787,14.8,1,7.223938
74.1,Yes,14,64.5,12.06,95,0.1,7674.86559,0.781,14.4,1,7.265115
73.9,Yes,139,63.9,10.99,95,0.1,7378.25539,0.778,14.3,1,0.735888
73.7,Yes,144,63.3,10.67,95,0.1,7813.83499,0.775,14.2,1,7.348328
73.4,Yes,147,62.7,10.8,94,0.1,6843.263289,0.77,13.9,1,7.395599
73.2,Yes,152,62.1,10.93,94,0.1,6955.987733,0.768,13.8,1,7.444443
72.9,Yes,155,61.5,10.98,96,0.1,7296.122479,0.761,13.8,1,7.492561
72.6,Yes,157,6.9,10.89,95,0.1,5932.899677,0.755,13.5,1,7.545338
72.2,Yes,161,6.3,10.39,96,0.1,4513.13628,0.75,13.5,1,0.076122
72.1,Yes,16,59.7,10.48,97,0.1,3893.68998,0.745,13.5,1,7.658972
72.2,Yes,157,59.1,10.96,94,0.1,3381.57837,0.738,13.3,1,0.771686
72,Yes,155,58.6,11.19,96,0.1,271.46824,0.729,12.9,1,7.775327
71.8,Yes,157,58.1,10.2,94,0.1,287.534843,0.723,12.9,1,7.837161
71.6,Yes,16,57.5,10.72,94,0.1,1764.97387,0.713,12.9,1,0.089142
71.1,Yes,163,57,9.69,94,0.1,169.28586,0.709,12.9,1,0.817172
59.3,No,268,18.8,0.01,91,0.6,75.1464113,0.398,7.7,39,17.585977
59,No,27,18.2,4.64,89,0.7,699.452847,0.392,7.5,40,1.772723
58.6,No,271,17.7,4.75,9,0.8,673.8227,0.384,7.2,41,16.571216
58.1,No,275,17.1,4.51,9,0.9,666.842783,0.377,6.7,42,0.168194
57.5,No,279,16.6,4.55,9,1,575.4464527,0.365,6.3,43,1.565217
56.9,No,283,16.1,4.55,91,1.1,552.7455521,0.356,5.9,44,1.514199
56.1,No,288,15.6,4.5,92,1.5,569.7612784,0.345,5.4,45,14.689726
55.3,No,293,15.1,4.58,93,1.7,475.11122,0.334,4.9,46,1.425221
54.3,No,32,14.6,4.73,94,2,422.6332374,0.325,4.7,47,13.829177
53.3,No,313,14.2,4.88,94,2.3,46.998871,0,4.3,48,1.342193
52.4,No,323,13.7,4.54,83,2.5,371.323865,0,3.9,49,0.133569
51.6,No,332,13.3,4.58,83,2.9,332.344351,0,3.8,49,12.654621
51,No,338,12.9,4.53,69,3.2,26.7635413,0,3.6,49,0.122931
56,No,344,12.5,4.56,62,3.6,235.4912324,0,3.5,48,11.944587
51,No,348,12.2,3.71,45,4,226.4759814,0,3.4,48,1.167942
59.1,No,297,18.2,0.01,95,0.7,312.7489794,0.404,10.6,22,0.989179
58.6,No,33,17.6,0.01,96,1,282.7555252,0.398,10.5,22,0.096186
58,No,312,17.1,0.01,96,1.2,265.285651,0.393,10.3,22,0.931971
57.4,No,321,16.6,4.16,95,1.5,26.479973,0.385,9.9,22,0.094358
56.8,No,33,16.1,4.16,94,1.9,231.1943256,0.361,9.3,23,0.87669299999999994
56.2,No,338,15.7,4.05,96,2.4,24.944652,0.336,8.6,23,0.848931
55.3,No,35,15.2,4.33,89,2.9,196.2472628,0.319,7.9,23,8.212264
54.8,No,355,14.8,4.54,93,3.4,17.79995,0.309,7.2,24,7.939573
54.1,No,361,14.5,4.5,88,3.8,165.8794176,0.29,5.9,24,7.675338
53.4,No,369,14.1,5.54,82,4.3,15.57434,0.286,5.6,24,7.423289
52.6,No,378,13.8,5.72,76,4.8,127.4296648,0.279,5.2,24,7.182451
51.9,No,387,13.5,5.84,75,5.1,112.849373,0.276,4.7,24,6.953113
51.5,No,387,13.3,5.98,74,5.2,122.4335893,0.268,4.4,24,6.741569
51.3,No,385,13,6.09,72,5.3,133.7427689,0.268,4.5,25,6.555829
58,No,386,12.8,6.61,71,5.2,135.9984455,0.268,4.5,25,0.006476
73,No,117,3.5,0.01,95,0.2,3529.61843,0.643,13.5,0,0.526437
72.8,No,12,29.7,0.01,93,0.2,3558.796314,0.643,13.6,0,0.005216
72.7,No,121,29,0.01,94,0.3,348.482762,0.636,13.2,0,0.513979
72.6,No,122,28.2,5.07,9,0.3,367.429453,0.632,13.1,0,0.005867
72.5,No,123,27.5,4.75,99,0.4,3312.825985,0.627,12.7,0,0.052384
72.4,No,124,26.8,4.45,99,0.4,3444.5566,0.621,12.4,0,0.496963
72.4,No,124,26.2,4.16,99,0.4,3638.95946,0.615,12.2,0,0.491723
72.3,No,126,25.5,5.28,98,0.6,3112.285712,0.602,11.9,0,0.486438
72.1,No,129,24.9,4.25,97,0.6,234.28992,0.596,11.9,0,0.048795
71.8,No,134,24.3,4.26,95,0.8,248.13459,0.582,11.2,0,0.474567
71.4,No,14,23.7,4.19,94,0.8,1976.45856,0.574,11.1,0,0.467664
71.1,No,144,23.2,4.16,93,0.9,1768.92132,0.572,11.3,0,0.046147
